Title,Release Date,Budget,Revenue,Genres,Cast,Rating,Vote Count,Runtime,Overview
The Lovely Bones,2009-12-26,65000000,93600000,"Fantasy, Drama","Saoirse Ronan, Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci",7.075,4513,136,"After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal."
Salt,2010-07-21,110000000,293329073,"Action, Mystery, Thriller","Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl",6.413,5365,100,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?"""
The Lighthouse,2019-10-18,11000000,18100000,"Drama, Fantasy, Thriller","Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes, Kyla Nicolle",7.509,4717,109,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
Beverly Hills Cop,1984-12-05,14000000,316360478,"Comedy, Crime, Action","Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher, Ronny Cox",7.193,4045,105,"Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can."
Romance of the West Chamber,1997-10-09,0,0,"History, Romance","Chisato Kawamura, Jimmy Wong Shu-Kei, Elvis Tsui Kam-Kong, Teresa Mak Ka-Kei, Karen Yeung Ga-Ling",5.6,5,92,"Cheung, a 23-year-old unmarried travelling scholar, stops by the monastery, where he sees a beautiful woman. Against the rules, Monk Faben allows Cheung to stay and woo the girl, Ann-Ann. She is shy, and also the Prime Minister's daughter, so the wooing is arranged by Ann-Ann's maid Hung."
No Strings Attached,2011-01-21,25000000,149200000,"Comedy, Romance","Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes, Greta Gerwig",6.296,4620,107,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?"
Man on Fire,2004-04-23,70000000,130300000,"Action, Drama, Thriller","Denzel Washington, Dakota Fanning, Christopher Walken, Radha Mitchell, Marc Anthony",7.5,5008,146,"Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life."
Elf,2003-10-09,32000000,228500000,"Comedy, Family, Fantasy","Will Ferrell, James Caan, Bob Newhart, Ed Asner, Mary Steenburgen",6.646,3939,97,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic."
The Omen,1976-06-25,2800000,60922980,"Horror, Thriller","Gregory Peck, Lee Remick, David Warner, Billie Whitelaw, Harvey Stephens",7.403,2057,111,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil."
Angel Has Fallen,2019-08-21,40000000,146661977,"Action, Thriller","Gerard Butler, Morgan Freeman, Jada Pinkett Smith, Nick Nolte, Danny Huston",6.586,3405,122,"After a treacherous attack, Secret Service agent Mike Banning is charged with attempting to assassinate President Trumbull. Chased by his own colleagues and the FBI, Banning begins a race against the clock to clear his name."
Night at the Museum,2006-12-20,110000000,574480841,"Action, Adventure, Comedy, Family, Fantasy","Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney, Bill Cobbs",6.6,10043,108,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits."
The Mummy: Tomb of the Dragon Emperor,2008-07-01,145000000,403449830,"Adventure, Action, Fantasy","Brendan Fraser, Maria Bello, John Hannah, Luke Ford, Isabella Leong",5.495,4342,112,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power."
Daddysitter,2024-08-02,0,0,Drama,"Apple Dy, Armani Hector, Emil Sandoval, Mia Cruz, Aylene Velasco",7.0,1,0,"A student taking on an unusual ”daddysitter” job. As she grows close to her wealthy, ill client, his estranged son’s return complicates everything."
American Made,2017-08-18,50000000,133511855,"Comedy, Crime, Drama","Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons, Caleb Landry Jones",6.88,4415,115,"The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s."
Insidious,2011-03-31,1500000,99870886,"Horror, Thriller","Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey",6.944,6658,103,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought."
Infinite,2021-09-09,0,0,"Science Fiction, Action, Adventure, Thriller","Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Jason Mantzoukas, Rupert Friend",6.609,1748,106,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real."
Flesh + Blood,1985-08-30,6500000,100000,"Adventure, Drama","Rutger Hauer, Jennifer Jason Leigh, Tom Burlinson, Jack Thompson, Susan Tyrrell",6.6,363,126,"A band of medieval mercenaries take revenge on a noble lord who decides not to pay them by kidnapping the betrothed of the noble's son. As the plague and warfare cut a swathe of destruction throughout the land, the mercenaries hole up in a castle and await their fate."
Plane,2023-01-12,25000000,51000000,"Action, Adventure, Thriller","Gerard Butler, Mike Colter, Tony Goldwyn, Yoson An, Evan Dane Taylor",6.968,2142,107,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage."
Teddy's Christmas,2022-11-05,0,6200000,"Family, Adventure, Fantasy","Marte Klerck-Nilssen, John Brungot, Mariann Hole, Medina Iqbal, Lene Kongsvik Johansen",7.1,42,76,"While visiting a Christmas market in her Norwegian town, eight year old Mariann spots a talking teddy bear at a carnival game booth. However, when someone else wins it, she embarks on a quest to find the adorable bear that captured her heart."
24 Hours with Gaspar,2023-10-06,0,0,"Action, Crime, Drama, Mystery, Science Fiction, Thriller","Reza Rahadian, Shenina Cinnamon, Laura Basuki, Dewi Irawan, Kristo Immanuel",6.68,61,98,"With only 24 hours left to live, a private investigator follows a trail of confounding clues to uncover the disappearance of his childhood friend."
Crazy Mama,1975-06-01,0,0,"Crime, Action, Comedy","Cloris Leachman, Stuart Whitman, Ann Sothern, Jim Backus, Don Most",5.7,13,83,"Melba Stokes, her mother Sheba and daughter Cheryl embark on a crime spree after their California beauty parlor is repossessed. Their destination is Arkansas, where the three generations of women want to reclaim the family farm."
Scary Movie 3,2003-10-24,48000000,220673217,Comedy,"Anna Faris, Simon Rex, Anthony Anderson, Charlie Sheen, Regina Hall",6.0,3978,84,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process."
Sub Rosa,2014-08-10,0,0,"Drama, Romance","Julie Kendall, Mario Nalini, Mario Temes",6.2,13,22,"Bullied by his father to grow up, a teen fights between the love of his step-mother over his father's life."
Undisputed II: Last Man Standing,2006-04-11,8000000,1361,"Action, Crime, Thriller","Michael Jai White, Scott Adkins, Ben Cross, Eli Danker, Mark Ivanir",7.4,777,93,"Heavyweight Champ George ""Iceman"" Chambers is sent to a Russian jail on trumped-up drug charges. In order to win his freedom he must fight against the jailhouse fighting champ Uri Boyka in a battle to the death. This time he is not fighting for a title, he is fighting for his life!"
Escape Room: Tournament of Champions,2021-07-01,15000000,65774490,"Horror, Thriller, Mystery","Taylor Russell, Logan Miller, Indya Moore, Holland Roden, Thomas Cocquerel",6.564,1952,88,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive... and discovering they've all played the games before."
Triangle of Sadness,2022-09-18,15600000,24733572,"Comedy, Drama","Harris Dickinson, Charlbi Dean, Woody Harrelson, Zlatko Burić, Vicki Berlin",7.09,2061,147,"A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy."
Solo: A Star Wars Story,2018-05-15,250000000,392952373,"Science Fiction, Adventure, Action","Alden Ehrenreich, Joonas Suotamo, Woody Harrelson, Emilia Clarke, Donald Glover",6.561,8371,135,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian."
Triangle,2009-10-16,12000000,1594955,Horror,"Melissa George, Liam Hemsworth, Emma Lung, Rachael Carpani, Michael Dorman",6.923,2491,98,"When Jess sets sail on a yacht with a group of friends, she cannot shake the feeling that there is something wrong."
All Hallows' Eve,2013-10-29,0,0,Horror,"Katie Maguire, Sydney Freihofer, Cole Mathewson, Mike Giannelli, Robyn Kerr",5.735,417,82,"While watching two children on Halloween night, a babysitter finds an old VHS tape in the kids' trick or treat bag. The tape features three tales of terror, all linked together by a murderous clown."
Mystic River,2003-10-07,25000000,156800000,"Thriller, Crime, Drama, Mystery","Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden",7.74,6503,138,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.
Prey for the Devil,2022-10-23,0,37655699,"Horror, Thriller","Jacqueline Byers, Colin Salmon, Christian Navarro, Lisa Palfrey, Nicholas Ralph",6.934,881,93,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her."
Rurouni Kenshin: The Beginning,2021-06-04,0,0,"Action, Adventure, Drama, Romance","Takeru Satoh, Kasumi Arimura, Issey Takahashi, Nijiro Murakami, Masanobu Ando",7.663,430,138,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever."
Code Geass: Lelouch of the Rebellion – Transgression,2018-02-10,0,526114,"Science Fiction, Animation, Drama, Action","Hidenosuke Kawashiro, Saori Sudo, Hikaru Midorikawa, Sayaka Ohara, Dai Matsumoto",7.1,24,132,"This is the second part of a 3-part theatrical film compilation of the ""Code Geass: Lelouch of the Rebellion"" TV anime."
Tomb Raider,2018-03-05,94000000,274650803,"Action, Adventure, Fantasy","Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas",6.361,7653,118,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared."
Boruto: Naruto the Movie,2015-08-07,0,39500000,"Adventure, Action, Animation, Comedy, Fantasy","Yuko Sanpei, Cocoro Kikuchi, Junko Takeuchi, Noriaki Sugiyama, Daisuke Namikawa",7.567,1387,95,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy with his Hokage duties, puts a damper on Boruto's fire. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation rises!"
La figliastra - Storia di corna e di passioni,1976-07-29,0,0,"Comedy, Romance","Sonja Jeannine, Lucretia Love, Bruno Scipioni, Nino Terzo, Maristella Greco",4.5,8,88,"A long time ago in Sicilia, there was a common, unwritten law that linked the hereditary rights to unequivocal demonstrations of virility. Because of that traditional law, a middle-age widower whose wife died without begetting him a child, is about to lose an inheritance of a large sum of money. The man marries again, with Nadia, an attractive woman with a daughter from her first marriage, Daniela. But time passes, and Nadia is not getting pregnant, either. Eventually, his beautiful stepdaughter will help him solve his problem."
Insidious: The Last Key,2018-01-03,10000000,167885588,"Horror, Thriller","Lin Shaye, Leigh Whannell, Angus Sampson, Kirk Acevedo, Caitlin Gerard",6.261,2844,103,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home."
Ready or Not,2019-08-21,6000000,57600000,"Comedy, Horror","Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny, Andie MacDowell",7.058,4287,95,"When a young bride marries into a ridiculously rich and delightfully deranged family, her wedding night becomes her worst nightmare as she's forced to play a lethal game of hide-and-seek and must fight to stay alive."
Die Hard,1988-07-15,28000000,140767956,"Action, Thriller","Bruce Willis, Alan Rickman, Alexander Godunov, Bonnie Bedelia, Reginald VelJohnson",7.79,10929,132,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down."
Chronicle,2012-02-01,15000000,145000000,"Science Fiction, Drama, Thriller","Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly, Ashley Grace",6.824,5195,84,"Three high school students make an incredible discovery, leading to their developing uncanny powers beyond their understanding. As they learn to control their abilities and use them to their advantage, their lives start to spin out of control, and their darker sides begin to take over."
Spaceman,2024-02-23,40000000,0,"Science Fiction, Adventure, Drama","Adam Sandler, Paul Dano, Carey Mulligan, Kunal Nayyar, Isabella Rossellini",6.785,716,108,"Six months into a solo mission, a lonely astronaut confronts the cracks in his marriage with help from a mysterious creature he discovers on his ship."
Radical,2023-10-19,10000000,21761164,Drama,"Eugenio Derbez, Daniel Haddad, Jennifer Trejo, Mia Fernanda Solis, Danilo Guardiola Escobar",8.405,391,126,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius."
The Duel,2024-07-31,800000,7400000,"Comedy, Drama","Dylan Sprouse, Callan McAuliffe, Patrick Warburton, Denny Love, Hart Denton",6.667,12,99,"When a friend group is torn apart by betrayal, they decide to settle their differences in the most old school of ways. Leaving their modern home of Los Angeles, they embark on a bizarre adventure that seemingly takes them back in time across an underground cave river. Cocaine. Existentialism. A four hundred and fifty pound pig. True love. Cosmic jokes. Mexico?"
Nun in Rope Hell,1984-05-25,0,0,"Drama, Horror","Miki Takakura, Maya Ito, Asami Ogawa, Hiroshi Unayama, Hiromi Yamaguchi",5.281,16,69,A woman gets caught by the wife of her lover which results in a stabbing. Feeling guilty she runs away and joins a nunnery. But she soon discovers that several nuns and a well known author have turned the place into their own personal S&M playground.
You Only Live Twice,1967-06-13,9500000,111584787,"Action, Thriller, Adventure","Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsuro Tamba, Teru Shimada",6.567,2123,117,A mysterious spacecraft captures Russian and American space capsules and brings the two superpowers to the brink of war. James Bond investigates the case in Japan and comes face to face with his archenemy Blofeld.
The Lovely Bones,2009-12-26,65000000,93600000,"Fantasy, Drama","Saoirse Ronan, Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci",7.075,4513,136,"After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal."
Salt,2010-07-21,110000000,293329073,"Action, Mystery, Thriller","Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl",6.413,5365,100,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?"""
The Lighthouse,2019-10-18,11000000,18100000,"Drama, Fantasy, Thriller","Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes, Kyla Nicolle",7.509,4717,109,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
Beverly Hills Cop,1984-12-05,14000000,316360478,"Comedy, Crime, Action","Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher, Ronny Cox",7.193,4045,105,"Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can."
Romance of the West Chamber,1997-10-09,0,0,"History, Romance","Chisato Kawamura, Jimmy Wong Shu-Kei, Elvis Tsui Kam-Kong, Teresa Mak Ka-Kei, Karen Yeung Ga-Ling",5.6,5,92,"Cheung, a 23-year-old unmarried travelling scholar, stops by the monastery, where he sees a beautiful woman. Against the rules, Monk Faben allows Cheung to stay and woo the girl, Ann-Ann. She is shy, and also the Prime Minister's daughter, so the wooing is arranged by Ann-Ann's maid Hung."
Ice Age: Collision Course,2016-06-23,105000000,408579038,"Adventure, Animation, Family, Comedy","Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Seann William Scott",6.097,4454,95,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and locations."
Raw,2016-11-11,3500000,4100000,"Drama, Horror","Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas, Joana Preiss",7.1,3124,99,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form."
The Champion,2024-07-12,0,0,"Drama, Family, Comedy","Swit Eme, Dani Rovira, Pablo Chiapella, Luis Fernández, Cintia García",5.2,27,106,"Diego has just been voted best young player in Europe and at the age of 20 he is on his way to making his team, Atlético de Madrid, champions of La Liga. But his impulsive and conflictive character makes the club, fed up with his excesses, hire Álex, a withdrawn and lonely psychology professor, to improve his behaviour. The two will have no choice but to learn to understand each other."
Triple 9,2016-02-19,20000000,12600000,"Action, Crime, Adventure, Thriller","Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Kate Winslet, Woody Harrelson",5.971,2081,115,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.
How the Grinch Stole Christmas,2000-11-17,123000000,345800000,"Family, Comedy, Fantasy","Jim Carrey, Taylor Momsen, Jeffrey Tambor, Christine Baranski, Bill Irwin",6.758,7269,104,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...
The Intimate,2005-12-08,0,0,"Romance, Drama","Sung Hyun-ah, Cho Dong-hyuk, Kim Ye-ryeong, Ji Dae-han, Kil Hae-yeon",6.232,28,98,"Her lover has never taken a dangerous risk in his life. She has been for seven years and is going to get married next month. One day she meets a handsome stranger, who asked her to spend one day with him. It might be a mistake to accept his proposal, but over the next day she will experience a level of excitement and intimacy, she has never experienced before, and this could change her life all of sudden."
Fraulein,2006-08-07,0,0,Drama,"Mirjana Karanović, Andrea Zogg, Marija Škaričić, Pablo Aguilar, David Imhoof",5.7,13,81,"Ruža left Serbia, her country, over 30 years ago and lives in Zurich. Her daily life is a string of repetitive moments until, one day, Ana arrives on the scene and upsets Ruža's painstakingly organized world. A subtle friendship develops between the two strong willed women."
Young Mother,2013-07-31,0,0,"Comedy, Romance","Joo In-cheol, Lee Eun-mi, Yeon Hee, Kim Min-jeong, Jae Hoon Jeong",5.029,17,83,"Nineteen-year-old, Jin-goo enjoys an erotic moment to himself while thinking about his pretty English tutor. Then one day, he is caught in the middle of an embarrassing moment and becomes awkward with her. However, this becomes an opportunity and she starts teaching him sex. Their replationship becomes an uncontrollable romance. However, she quits the tutoring and the relationship to get married.  Time goes on and Jin-goo is a grown up. He's used to thoughtless sex. However, his partner of benefit gets pregnant so he meets his future-mother-in-law to talk about marriage. However, she's so beautiful and sexy. He moves in with the in-laws but soon breaks out of the marrige due to his wife's fling. The mother-in-law doesn't know how to make it up to him for what her daughter has done. Jin-goo suggests something dangerous..."
Saltburn,2023-11-16,20000000,21013738,"Drama, Comedy, Thriller","Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant, Alison Oliver",7.0,2148,131,"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten."
28 Days Later,2002-10-31,8000000,85700000,"Horror, Thriller, Science Fiction","Cillian Murphy, Naomie Harris, Brendan Gleeson, Megan Burns, Christopher Eccleston",7.222,6560,113,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
Concrete Utopia,2023-08-09,0,28900000,"Thriller, Science Fiction, Drama","Lee Byung-hun, Park Seo-jun, Park Bo-young, Kim Sun-young, Park Ji-hu",7.034,178,130,"The world has been reduced to rubble by a massive earthquake. While no one knows for sure how far the ruins stretch, or what the cause of the earthquake may be, in the heart of Seoul there is only one apartment building left standing. It is called Hwang Gung Apartments. As time passes, outsiders start coming in to Hwang Gung Apartments trying to escape the extreme cold. Before long, the apartment residents are unable to cope with the increasing numbers. Feeling a threat to their very survival, the residents enact a special measure."
The Mule,2018-12-14,50000000,174800000,"Crime, Drama","Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest",6.846,4854,116,"Earl Stone, a man in his eighties, is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he's just signed on as a drug courier for a Mexican cartel. He does so well that his cargo increases exponentially, and Earl hit the radar of hard-charging DEA agent Colin Bates."
Dragon Ball Z: Cooler's Revenge,1991-07-20,0,16331742,"Action, Animation, Science Fiction","Masako Nozawa, Toshio Furukawa, Mayumi Tanaka, Naoki Tatsuta, Naoko Watanabe",6.959,651,48,"After defeating Frieza, Goku returns to Earth and goes on a camping trip with Gohan and Krillin. Everything is normal until Cooler - Frieza's brother - sends three henchmen after Goku. A long fight ensues between our heroes and Cooler, in which he transforms into the fourth stage of his evolution and has the edge in the fight... until Goku transforms into a Super Saiyan."
The Gentlemen,2020-01-23,22000000,115171795,"Action, Crime, Comedy","Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong, Lyne Renee",7.679,5607,113,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
All the Names of God,2023-09-15,0,0,"Drama, Action, Thriller","Luis Tosar, Inma Cuesta, Roberto Enríquez, Fernando Cayo, Nourdin Batán",6.44,108,105,"After being implicated in a terrorist attack, Santi, a taxi driver, is taken hostage by one of the perpetrators."
Swingers,2020-08-24,0,0,Documentary,Belinda Stewart-Wilson,4.5,2,47,"Observational documentary unlocking the doors of Britain's hidden swinging scene via access to one of the country's most popular swinging clubs and candid interviews with the club's founder, staff and clientele."
New Nightmare,1994-10-13,8000000,18090181,"Horror, Mystery, Fantasy","Heather Langenkamp, Robert Englund, Miko Hughes, Wes Craven, David Newsom",6.43,1339,112,Cast and crew from earlier A Nightmare on Elm Street installments are terrorized by Freddy Krueger and his razor-fingered glove as he crosses over into the real world.
